id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
199,2014.195651988112,891.3971838946609,0.29998128982916894,-0.5890766613040858,-0.9030788217782014,25,134.31943362398653,2170.1138067151946,-8.341206275096418,-0.12602880439462133
200,2413.6236689116135,894.9326320792711,0.3355373438972289,0.1740045549090863,-0.6959896187937606,25,157.63120566468362,2692.2599188598333,-8.575292464174648,-0.05249360267539734
201,342.58877440828144,896.6125070264504,0.3183033345966966,-0.8626903303345053,-0.6169135413568403,25,121.58244669959568,1764.447533297442,-8.116521872327704,-0.07272122003095177
202,2912.233153689386,897.5926739107064,0.2800134472307708,0.6899798576637806,-0.6130975036783347,25,124.40289456075325,2031.696838410204,-8.269647261947918,-0.0715906567084364
203,1881.2332888239719,899.4402014947827,0.4265973911117604,-0.8060662978021329,-0.79454406331519,25,160.64211606770508,2443.2911586370014,-8.469938058607237,-0.09049176647217949
204,2298.5828494005855,899.3689453631872,0.39345157812275194,0.11947410490591219,-0.8071637056432548,25,111.72133064088844,1376.2180096981356,-7.846718092214648,-0.04256607303378124
205,3153.089984132366,899.379197843235,0.3247857016105575,-0.10408939324158879,-0.7179573231760726,25,164.0500285577878,2525.361090515139,-8.5058087119844,-0.2695471271941805
206,3227.050786553825,900.2677938083309,0.3292673085641769,0.7376507225318687,-0.14167972338052404,25,135.6549690334871,2108.786682557097,-8.310081625648042,-0.04435142382955347
207,277.9915954307743,905.0176608612586,0.3507757356843313,-0.3936295040206329,-0.15244101682961964,25,45.31629688485788,-19.336047465878202,nan,-0.01650857086360507
208,1926.9172452513374,909.1402146188672,0.34388713776280405,0.20852335898164073,-0.24118814554796547,25,144.25673350851076,2210.1891131795137,-8.361073588394323,-0.04056003411732034
209,1848.313663049864,912.8320539271057,0.3558221985993827,-0.08680956481940084,-0.06788035988145984,25,35.68241264191852,-346.64585531454685,nan,-0.049672794243789675
210,3204.4488959031214,914.7020046299998,0.508422492886313,0.5035420341159058,-0.7537540599478508,25,152.0732215706813,1821.663335248384,-8.15117029334621,-0.1719076358817388
211,2760.366674070295,916.8971200504966,0.4677019260718401,0.37392448019038266,-0.37044187176047705,25,161.83240964322593,2234.4525163295384,-8.372927825086409,-0.14790169400147682
212,2687.203600639538,920.8976885312584,0.2932350275966861,0.29034783602993836,-0.9084073988620064,25,153.29483963395973,2630.3024434419935,-8.550014221002048,-0.23321339370077293
213,2705.3963326234675,922.2529654364084,0.43899574885622233,0.6357860393340886,-0.6022285494952941,25,89.74424854975868,528.7416183479559,-6.808108739921891,-0.17907776811045478
214,2049.6892804102845,924.3618927052602,0.4384786615177589,0.3019412547582154,-0.4847782058104637,25,127.86301941834894,1623.393543457501,-8.02605953590851,-0.0571030335703709
